symbol,price,time
QTUMUSDT,3.28,2023-04-15 07:03:52.139
TUSDUSDT,0.9991,2023-04-15 07:03:52.915
IOTAUSDT,0.2232,2023-04-15 07:03:53.681
NULSUSDT,0.2775,2023-04-15 07:03:54.444
USDCUSDT,0.9991,2023-04-15 07:03:55.205
LINKUSDT,7.686,2023-04-15 07:03:55.962
USDSUSDT,0.9968,2023-04-15 07:03:56.730
IOSTUSDT,0.01156,2023-04-15 07:03:57.515
CELRUSDT,0.02333,2023-04-15 07:03:58.318
DASHUSDT,59.0,2023-04-15 07:03:59.083
NANOUSDT,2.224,2023-04-15 07:04:00.824
MITHUSDT,0.00345,2023-04-15 07:04:02.088
ATOMUSDT,12.267,2023-04-15 07:04:02.850
ALGOUSDT,0.2245,2023-04-15 07:04:03.616
DOGEUSDT,0.08903,2023-04-15 07:04:04.866
DUSKUSDT,0.1933,2023-04-15 07:04:06.128
ANKRUSDT,0.03574,2023-04-15 07:04:07.406
NPXSUSDT,0.0070301,2023-04-15 07:04:08.231
TOMOUSDT,0.7291,2023-04-15 07:04:09.513
PERLUSDT,0.03229,2023-04-15 07:04:10.283
DENTUSDT,0.00115,2023-04-15 07:04:11.536
DOCKUSDT,0.02343,2023-04-15 07:04:12.319
BANDUSDT,1.948,2023-04-15 07:04:13.080
BUSDUSDT,0.9997,2023-04-15 07:04:13.848
BEAMUSDT,0.0652,2023-04-15 07:04:14.619
HBARUSDT,0.0677,2023-04-15 07:04:15.884
KAVAUSDT,0.924,2023-04-15 07:04:16.678
ARPAUSDT,0.04374,2023-04-15 07:04:17.455
IOTXUSDT,0.02934,2023-04-15 07:04:18.212
CTXCUSDT,0.2398,2023-04-15 07:04:18.972
TROYUSDT,0.00379,2023-04-15 07:04:19.730
VITEUSDT,0.02472,2023-04-15 07:04:20.523
DREPUSDT,0.4712,2023-04-15 07:04:21.319
BULLUSDT,1370.28,2023-04-15 07:04:22.096
BEARUSDT,11.16,2023-04-15 07:04:22.861
AIONUSDT,0.00943,2023-04-15 07:04:24.404
COTIUSDT,0.0831,2023-04-15 07:04:25.176
STPTUSDT,0.05511,2023-04-15 07:04:25.946
DATAUSDT,0.03923,2023-04-15 07:04:26.717
CTSIUSDT,0.1674,2023-04-15 07:04:27.479
HIVEUSDT,0.4325,2023-04-15 07:04:28.246
ARDRUSDT,0.0949,2023-04-15 07:04:29.024
LENDUSDT,0.51431,2023-04-15 07:04:29.801
STMXUSDT,0.006016,2023-04-15 07:04:30.578
COMPUSDT,44.63,2023-04-15 07:04:31.345
BKRWUSDT,0.0008453,2023-04-15 07:04:32.113
VTHOUSDT,0.001439,2023-04-15 07:04:32.887
MANAUSDT,0.6295,2023-04-15 07:04:33.652
IRISUSDT,0.03363,2023-04-15 07:04:34.418
SANDUSDT,0.6844,2023-04-15 07:04:35.183
LUNAUSDT,1.4076,2023-04-15 07:04:35.954
PAXGUSDT,2018.0,2023-04-15 07:04:36.711
WNXMUSDT,29.58,2023-04-15 07:04:37.470
BZRXUSDT,0.2156,2023-04-15 07:04:38.232
YFIIUSDT,1119.8,2023-04-15 07:04:39.006
EGLDUSDT,42.52,2023-04-15 07:04:39.772
RUNEUSDT,1.663,2023-04-15 07:04:40.557
WINGUSDT,7.39,2023-04-15 07:04:41.337
AVAXUSDT,19.05,2023-04-15 07:04:42.139
AAVEUSDT,81.4,2023-04-15 07:04:42.914
NEARUSDT,2.19,2023-04-15 07:04:43.681
AKROUSDT,0.00537,2023-04-15 07:04:44.493
HARDUSDT,0.1895,2023-04-15 07:04:45.315
UNFIUSDT,5.448,2023-04-15 07:04:46.085
ROSEUSDT,0.07153,2023-04-15 07:04:46.854
SUSDUSDT,0.996,2023-04-15 07:04:47.621
REEFUSDT,0.002981,2023-04-15 07:04:48.389
CELOUSDT,0.714,2023-04-15 07:04:49.161
FIROUSDT,2.281,2023-04-15 07:04:49.930
DODOUSDT,0.1895,2023-04-15 07:04:50.756
CAKEUSDT,3.611,2023-04-15 07:04:51.519
PONDUSDT,0.01056,2023-04-15 07:04:52.296
DEGOUSDT,2.214,2023-04-15 07:04:53.060
LINAUSDT,0.014443,2023-04-15 07:04:53.933
PERPUSDT,0.84708,2023-04-15 07:04:54.694
RAMPUSDT,0.0524,2023-04-15 07:04:55.456
AUTOUSDT,114.8,2023-04-15 07:04:56.220
BAKEUSDT,0.2152,2023-04-15 07:04:56.990
SHIBUSDT,1.117e-05,2023-04-15 07:04:57.810
POLSUSDT,0.462,2023-04-15 07:04:58.584
MASKUSDT,5.692,2023-04-15 07:04:59.366
TORNUSDT,4.06,2023-04-15 07:05:00.625
KEEPUSDT,0.6251,2023-04-15 07:05:01.417
KLAYUSDT,0.2673,2023-04-15 07:05:03.164
BONDUSDT,4.365,2023-04-15 07:05:03.945
DEXEUSDT,3.11,2023-04-15 07:05:05.207
FLOWUSDT,1.034,2023-04-15 07:05:05.988
MINAUSDT,0.796,2023-04-15 07:05:06.794
FARMUSDT,36.8,2023-04-15 07:05:08.224
MBOXUSDT,0.499,2023-04-15 07:05:09.020
GHSTUSDT,1.124,2023-04-15 07:05:10.365
WAXPUSDT,0.0737,2023-04-15 07:05:11.634
DYDXUSDT,2.691,2023-04-15 07:05:12.408
POLYUSDT,0.2696,2023-04-15 07:05:13.187
IDEXUSDT,0.0557,2023-04-15 07:05:13.966
VIDTUSDT,0.03816,2023-04-15 07:05:14.738
USDPUSDT,0.9991,2023-04-15 07:05:15.515
GALAUSDT,0.04257,2023-04-15 07:05:16.386
FIDAUSDT,0.4403,2023-04-15 07:05:17.159
AGLDUSDT,0.57,2023-04-15 07:05:18.030
BETAUSDT,0.09463,2023-04-15 07:05:18.799
RAREUSDT,0.1268,2023-04-15 07:05:19.575
MOVRUSDT,9.34,2023-04-15 07:05:20.395
CITYUSDT,5.81,2023-04-15 07:05:21.165
KP3RUSDT,82.77,2023-04-15 07:05:21.928
POWRUSDT,0.1973,2023-04-15 07:05:22.694
RNDRUSDT,1.719,2023-04-15 07:05:23.467
ALCXUSDT,20.89,2023-04-15 07:05:24.267
BICOUSDT,0.42,2023-04-15 07:05:25.079
FLUXUSDT,0.737,2023-04-15 07:05:25.938
HIGHUSDT,2.192,2023-04-15 07:05:26.745
OOKIUSDT,0.00432,2023-04-15 07:05:27.661
GLMRUSDT,0.4028,2023-04-15 07:05:28.477
LOKAUSDT,0.5778,2023-04-15 07:05:29.763
SCRTUSDT,0.713,2023-04-15 07:05:30.591
API3USDT,1.685,2023-04-15 07:05:31.368
BTTCUSDT,6.3e-07,2023-04-15 07:05:32.131
ASTRUSDT,0.0717,2023-04-15 07:05:32.900
BIFIUSDT,513.3,2023-04-15 07:05:33.663
NEXOUSDT,0.704,2023-04-15 07:05:35.002
LUNCUSDT,0.00012688,2023-04-15 07:05:35.772
NEBLUSDT,0.504,2023-04-15 07:05:36.538
OSMOUSDT,0.846,2023-04-15 07:05:37.311
HOOKUSDT,2.1068,2023-04-15 07:05:38.085
HIFIUSDT,0.4345,2023-04-15 07:05:38.859
PROSUSDT,0.5311,2023-04-15 07:05:39.625
AGIXUSDT,0.45545,2023-04-15 07:05:40.438
LQTYUSDT,2.356,2023-04-15 07:05:41.237
BETHUSDT,2077.37,2023-04-15 07:05:42.016
USTCUSDT,0.02241795,2023-04-15 07:05:42.905
PROMUSDT,5.17,2023-04-15 07:05:43.678
LOOMUSDT,0.06691,2023-04-15 07:05:44.440
RDNTUSDT,0.4341,2023-04-15 07:05:45.204
QTUMUSDT,3.28,2023-04-15 07:05:56.015
TUSDUSDT,0.999,2023-04-15 07:05:57.042
IOTAUSDT,0.2233,2023-04-15 07:05:57.864
NULSUSDT,0.2775,2023-04-15 07:05:58.726
USDCUSDT,0.9992,2023-04-15 07:05:59.501
LINKUSDT,7.686,2023-04-15 07:06:00.308
USDSUSDT,0.9968,2023-04-15 07:06:01.651
IOSTUSDT,0.01156,2023-04-15 07:06:03.426
CELRUSDT,0.02338,2023-04-15 07:06:04.191
DASHUSDT,59.14,2023-04-15 07:06:04.945
NANOUSDT,2.224,2023-04-15 07:06:05.956
MITHUSDT,0.00345,2023-04-15 07:06:06.735
ATOMUSDT,12.268,2023-04-15 07:06:08.156
ALGOUSDT,0.2247,2023-04-15 07:06:09.096
DOGEUSDT,0.08909,2023-04-15 07:06:10.184
DUSKUSDT,0.1934,2023-04-15 07:06:10.981
ANKRUSDT,0.03575,2023-04-15 07:06:11.825
NPXSUSDT,0.0070301,2023-04-15 07:06:12.604
TOMOUSDT,0.7291,2023-04-15 07:06:13.422
PERLUSDT,0.03227,2023-04-15 07:06:14.318
DENTUSDT,0.001149,2023-04-15 07:06:15.144
DOCKUSDT,0.02343,2023-04-15 07:06:16.430
BANDUSDT,1.95,2023-04-15 07:06:17.210
BUSDUSDT,0.9998,2023-04-15 07:06:17.973
BEAMUSDT,0.0652,2023-04-15 07:06:18.736
HBARUSDT,0.0677,2023-04-15 07:06:19.529
KAVAUSDT,0.924,2023-04-15 07:06:20.301
ARPAUSDT,0.04378,2023-04-15 07:06:21.202
IOTXUSDT,0.02935,2023-04-15 07:06:21.992
CTXCUSDT,0.24,2023-04-15 07:06:23.112
TROYUSDT,0.003784,2023-04-15 07:06:23.867
VITEUSDT,0.02472,2023-04-15 07:06:24.742
DREPUSDT,0.4719,2023-04-15 07:06:25.500
BULLUSDT,1370.28,2023-04-15 07:06:26.254
BEARUSDT,11.16,2023-04-15 07:06:27.049
AIONUSDT,0.00943,2023-04-15 07:06:28.324
COTIUSDT,0.0832,2023-04-15 07:06:29.093
STPTUSDT,0.05528,2023-04-15 07:06:29.983
DATAUSDT,0.03926,2023-04-15 07:06:30.749
CTSIUSDT,0.168,2023-04-15 07:06:31.504
HIVEUSDT,0.4325,2023-04-15 07:06:32.262
ARDRUSDT,0.0952,2023-04-15 07:06:33.039
LENDUSDT,0.51431,2023-04-15 07:06:33.888
STMXUSDT,0.006024,2023-04-15 07:06:34.776
COMPUSDT,44.64,2023-04-15 07:06:35.543
BKRWUSDT,0.0008453,2023-04-15 07:06:36.307
VTHOUSDT,0.001437,2023-04-15 07:06:37.095
MANAUSDT,0.6303,2023-04-15 07:06:37.858
IRISUSDT,0.03363,2023-04-15 07:06:38.726
SANDUSDT,0.6857,2023-04-15 07:06:39.491
LUNAUSDT,1.4076,2023-04-15 07:06:40.255
PAXGUSDT,2019.0,2023-04-15 07:06:41.045
WNXMUSDT,29.58,2023-04-15 07:06:41.828
BZRXUSDT,0.2156,2023-04-15 07:06:43.581
YFIIUSDT,1119.5,2023-04-15 07:06:44.375
EGLDUSDT,42.53,2023-04-15 07:06:45.137
RUNEUSDT,1.663,2023-04-15 07:06:46.128
WINGUSDT,7.39,2023-04-15 07:06:46.924
AVAXUSDT,19.06,2023-04-15 07:06:47.689
AAVEUSDT,81.3,2023-04-15 07:06:48.448
NEARUSDT,2.192,2023-04-15 07:06:49.376
AKROUSDT,0.00539,2023-04-15 07:06:50.142
HARDUSDT,0.1895,2023-04-15 07:06:50.908
UNFIUSDT,5.464,2023-04-15 07:07:07.327
ROSEUSDT,0.07173,2023-04-15 07:07:08.088
SUSDUSDT,0.996,2023-04-15 07:07:08.855
REEFUSDT,0.002984,2023-04-15 07:07:09.627
CELOUSDT,0.716,2023-04-15 07:07:10.509
FIROUSDT,2.281,2023-04-15 07:07:11.758
DODOUSDT,0.1897,2023-04-15 07:07:12.539
CAKEUSDT,3.614,2023-04-15 07:07:13.806
PONDUSDT,0.01058,2023-04-15 07:07:15.159
DEGOUSDT,2.211,2023-04-15 07:07:15.925
LINAUSDT,0.014447,2023-04-15 07:07:16.696
PERPUSDT,0.84718,2023-04-15 07:07:17.549
RAMPUSDT,0.0524,2023-04-15 07:07:18.440
AUTOUSDT,114.0,2023-04-15 07:07:19.208
BAKEUSDT,0.2155,2023-04-15 07:07:19.975
SHIBUSDT,1.117e-05,2023-04-15 07:07:20.739
POLSUSDT,0.462,2023-04-15 07:07:21.507
MASKUSDT,5.696,2023-04-15 07:07:22.266
TORNUSDT,4.06,2023-04-15 07:07:23.026
KEEPUSDT,0.6251,2023-04-15 07:07:23.799
KLAYUSDT,0.2674,2023-04-15 07:07:24.564
BONDUSDT,4.362,2023-04-15 07:07:25.329
DEXEUSDT,3.112,2023-04-15 07:07:26.095
FLOWUSDT,1.035,2023-04-15 07:07:26.862
MINAUSDT,0.797,2023-04-15 07:07:27.635
FARMUSDT,36.8,2023-04-15 07:07:28.652
MBOXUSDT,0.499,2023-04-15 07:07:29.414
GHSTUSDT,1.124,2023-04-15 07:07:30.176
WAXPUSDT,0.0738,2023-04-15 07:07:30.953
DYDXUSDT,2.692,2023-04-15 07:07:31.745
POLYUSDT,0.2696,2023-04-15 07:07:33.008
IDEXUSDT,0.05574,2023-04-15 07:07:33.778
VIDTUSDT,0.03821,2023-04-15 07:07:34.542
USDPUSDT,0.9991,2023-04-15 07:07:35.311
GALAUSDT,0.04263,2023-04-15 07:07:36.077
FIDAUSDT,0.44,2023-04-15 07:07:36.916
AGLDUSDT,0.57,2023-04-15 07:07:37.722
BETAUSDT,0.09469,2023-04-15 07:07:38.498
RAREUSDT,0.1266,2023-04-15 07:07:39.263
MOVRUSDT,9.34,2023-04-15 07:07:40.027
CITYUSDT,5.83,2023-04-15 07:07:40.791
KP3RUSDT,83.08,2023-04-15 07:07:41.552
POWRUSDT,0.1973,2023-04-15 07:07:42.335
RNDRUSDT,1.717,2023-04-15 07:07:43.102
ALCXUSDT,20.89,2023-04-15 07:07:43.874
BICOUSDT,0.421,2023-04-15 07:07:44.641
FLUXUSDT,0.737,2023-04-15 07:07:45.409
HIGHUSDT,2.192,2023-04-15 07:07:46.176
OOKIUSDT,0.00432,2023-04-15 07:07:46.936
GLMRUSDT,0.4013,2023-04-15 07:07:47.702
LOKAUSDT,0.5777,2023-04-15 07:07:48.544
SCRTUSDT,0.713,2023-04-15 07:07:49.311
API3USDT,1.685,2023-04-15 07:07:50.090
BTTCUSDT,6.3e-07,2023-04-15 07:07:50.861
ASTRUSDT,0.0719,2023-04-15 07:07:51.626
BIFIUSDT,513.3,2023-04-15 07:07:52.402
NEXOUSDT,0.703,2023-04-15 07:07:53.179
LUNCUSDT,0.00012706,2023-04-15 07:07:53.943
NEBLUSDT,0.5,2023-04-15 07:07:54.719
OSMOUSDT,0.845,2023-04-15 07:07:55.512
HOOKUSDT,2.1105,2023-04-15 07:07:56.282
HIFIUSDT,0.4336,2023-04-15 07:07:57.053
PROSUSDT,0.533,2023-04-15 07:07:57.824
AGIXUSDT,0.45478,2023-04-15 07:07:58.590
LQTYUSDT,2.36,2023-04-15 07:07:59.358
BETHUSDT,2077.12,2023-04-15 07:08:00.125
USTCUSDT,0.0223962,2023-04-15 07:08:00.891
PROMUSDT,5.17,2023-04-15 07:08:01.685
LOOMUSDT,0.06691,2023-04-15 07:08:02.452
RDNTUSDT,0.4362,2023-04-15 07:08:03.744
QTUMUSDT,3.283,2023-04-15 07:08:14.604
TUSDUSDT,0.999,2023-04-15 07:08:15.375
IOTAUSDT,0.2237,2023-04-15 07:08:16.268
NULSUSDT,0.278,2023-04-15 07:08:17.038
USDCUSDT,0.9992,2023-04-15 07:08:17.880
LINKUSDT,7.691,2023-04-15 07:08:18.660
USDSUSDT,0.9968,2023-04-15 07:08:19.444
IOSTUSDT,0.01158,2023-04-15 07:08:20.271
CELRUSDT,0.0234,2023-04-15 07:08:21.106
DASHUSDT,59.17,2023-04-15 07:08:21.878
NANOUSDT,2.224,2023-04-15 07:08:22.649
MITHUSDT,0.00345,2023-04-15 07:08:23.425
ATOMUSDT,12.271,2023-04-15 07:08:24.206
ALGOUSDT,0.2247,2023-04-15 07:08:24.975
DOGEUSDT,0.08918,2023-04-15 07:08:25.948
DUSKUSDT,0.1934,2023-04-15 07:08:26.722
ANKRUSDT,0.03575,2023-04-15 07:08:27.618
NPXSUSDT,0.0070301,2023-04-15 07:08:28.405
TOMOUSDT,0.73,2023-04-15 07:08:29.237
PERLUSDT,0.0323,2023-04-15 07:08:30.089
DENTUSDT,0.00115,2023-04-15 07:08:30.872
DOCKUSDT,0.02343,2023-04-15 07:08:31.636
BANDUSDT,1.951,2023-04-15 07:08:32.397
BUSDUSDT,0.9998,2023-04-15 07:08:33.165
BEAMUSDT,0.0652,2023-04-15 07:08:33.942
HBARUSDT,0.0677,2023-04-15 07:08:34.711
KAVAUSDT,0.926,2023-04-15 07:08:35.515
ARPAUSDT,0.04383,2023-04-15 07:08:36.291
IOTXUSDT,0.02937,2023-04-15 07:08:37.060
CTXCUSDT,0.2398,2023-04-15 07:08:37.844
TROYUSDT,0.003779,2023-04-15 07:08:39.120
VITEUSDT,0.02472,2023-04-15 07:08:39.890
DREPUSDT,0.4721,2023-04-15 07:08:40.665
BULLUSDT,1370.28,2023-04-15 07:08:41.485
BEARUSDT,11.16,2023-04-15 07:08:42.255
AIONUSDT,0.00943,2023-04-15 07:08:43.025
COTIUSDT,0.0833,2023-04-15 07:08:43.808
STPTUSDT,0.05526,2023-04-15 07:08:44.583
DATAUSDT,0.03929,2023-04-15 07:08:45.351
CTSIUSDT,0.1686,2023-04-15 07:08:46.122
HIVEUSDT,0.4325,2023-04-15 07:08:46.924
ARDRUSDT,0.0952,2023-04-15 07:08:47.766
LENDUSDT,0.51431,2023-04-15 07:08:48.579
STMXUSDT,0.006024,2023-04-15 07:08:49.362
COMPUSDT,44.69,2023-04-15 07:08:50.136
BKRWUSDT,0.0008453,2023-04-15 07:08:50.904
VTHOUSDT,0.001436,2023-04-15 07:08:51.680
MANAUSDT,0.6303,2023-04-15 07:08:52.454
IRISUSDT,0.03358,2023-04-15 07:08:53.219
SANDUSDT,0.6862,2023-04-15 07:08:53.992
LUNAUSDT,1.4074,2023-04-15 07:08:54.756
PAXGUSDT,2019.0,2023-04-15 07:08:55.603
WNXMUSDT,29.58,2023-04-15 07:08:56.521
BZRXUSDT,0.2156,2023-04-15 07:08:57.306
YFIIUSDT,1119.5,2023-04-15 07:08:58.089
EGLDUSDT,42.56,2023-04-15 07:08:58.852
RUNEUSDT,1.665,2023-04-15 07:08:59.625
WINGUSDT,7.39,2023-04-15 07:09:00.400
AVAXUSDT,19.05,2023-04-15 07:09:01.165
AAVEUSDT,81.5,2023-04-15 07:09:01.928
NEARUSDT,2.194,2023-04-15 07:09:02.696
AKROUSDT,0.00545,2023-04-15 07:09:03.477
HARDUSDT,0.1893,2023-04-15 07:09:04.730
UNFIUSDT,5.468,2023-04-15 07:09:06.512
ROSEUSDT,0.07181,2023-04-15 07:09:07.276
SUSDUSDT,0.996,2023-04-15 07:09:08.547
REEFUSDT,0.002985,2023-04-15 07:09:09.330
CELOUSDT,0.716,2023-04-15 07:09:10.097
FIROUSDT,2.281,2023-04-15 07:09:10.885
DODOUSDT,0.1893,2023-04-15 07:09:11.777
CAKEUSDT,3.613,2023-04-15 07:09:12.705
PONDUSDT,0.01057,2023-04-15 07:09:13.687
DEGOUSDT,2.209,2023-04-15 07:09:14.506
LINAUSDT,0.014445,2023-04-15 07:09:15.327
PERPUSDT,0.84742,2023-04-15 07:09:16.135
RAMPUSDT,0.0524,2023-04-15 07:09:17.398
AUTOUSDT,114.0,2023-04-15 07:09:18.174
BAKEUSDT,0.2157,2023-04-15 07:09:18.939
SHIBUSDT,1.118e-05,2023-04-15 07:09:19.716
POLSUSDT,0.462,2023-04-15 07:09:20.528
MASKUSDT,5.697,2023-04-15 07:09:21.798
TORNUSDT,4.06,2023-04-15 07:09:22.577
KEEPUSDT,0.6251,2023-04-15 07:09:23.344
KLAYUSDT,0.2673,2023-04-15 07:09:24.111
BONDUSDT,4.364,2023-04-15 07:09:24.911
DEXEUSDT,3.112,2023-04-15 07:09:25.696
FLOWUSDT,1.035,2023-04-15 07:09:26.476
MINAUSDT,0.798,2023-04-15 07:09:27.242
FARMUSDT,36.6,2023-04-15 07:09:28.012
MBOXUSDT,0.499,2023-04-15 07:09:28.969
GHSTUSDT,1.124,2023-04-15 07:09:30.234
WAXPUSDT,0.0737,2023-04-15 07:09:31.020
DYDXUSDT,2.694,2023-04-15 07:09:31.793
POLYUSDT,0.2696,2023-04-15 07:09:32.563
IDEXUSDT,0.05577,2023-04-15 07:09:33.333
VIDTUSDT,0.03817,2023-04-15 07:09:34.104
USDPUSDT,0.9991,2023-04-15 07:09:34.874
GALAUSDT,0.04265,2023-04-15 07:09:35.646
FIDAUSDT,0.4405,2023-04-15 07:09:36.419
AGLDUSDT,0.569,2023-04-15 07:09:37.202
BETAUSDT,0.09461,2023-04-15 07:09:37.970
RAREUSDT,0.1267,2023-04-15 07:09:38.734
MOVRUSDT,9.29,2023-04-15 07:09:39.497
CITYUSDT,5.81,2023-04-15 07:09:40.263
KP3RUSDT,83.01,2023-04-15 07:09:41.030
POWRUSDT,0.1973,2023-04-15 07:09:41.899
RNDRUSDT,1.717,2023-04-15 07:09:42.853
ALCXUSDT,20.89,2023-04-15 07:09:43.702
BICOUSDT,0.421,2023-04-15 07:09:44.470
FLUXUSDT,0.739,2023-04-15 07:09:45.261
HIGHUSDT,2.194,2023-04-15 07:09:46.051
